REC NO,TIME,SPEED [rpm],TORQUE [Nm],AMPS [A],VOLT [V],INPUT [W],PF,OUTPUT [W],EFF,FREQ [Hz],V1 [V],V2 [V],V3 [V],AMP1 [A],AMP2 [A],AMP3 [A],AMB,WIND,T1,T2,T3,LM,Temp6 [℃],Temp7 [℃],Temp8 [℃],Temp9 [℃],Temp10 [℃]
00-1-4 0:00,44599.65037,99.934601,5.1634,0.266,382.009918,80,0.4539,54.031654,0.675396,60.091999,382.183105,381.819397,382.027252,0.256,0.267,0.276,28.1,23.737297,19.702749,0.079348,0,0,0,,,,
00-1-4 0:00,44599.65038,100.133499,4.932,0.266,381.957947,80,0.4563,51.712925,0.646412,60.083,382.131165,381.819397,381.923309,0.254,0.267,0.277,28.1,23.541979,19.751579,0.079348,0,0,0,,,,
00-1-4 0:00,44599.65039,100.645699,5.0544,0.266,381.854034,80,0.4543,53.267391,0.665842,60.109001,382.06189,381.663513,381.836731,0.255,0.271,0.272,28.1,23.541979,19.751579,0.079348,0,0,0,,,,
00-1-4 0:00,44599.65039,99.995003,5.213,0.268,382.200439,81,0.4586,54.583656,0.673872,60,382.494873,381.957947,382.148468,0.265,0.263,0.277,28.1,23.541979,19.751579,0.085452,0,0,0,,,,
00-1-4 0:00,44599.65039,99.942001,5.1844,0.265,382.165802,80,0.4531,54.255428,0.678193,60.051998,381.732788,382.079193,382.668091,0.267,0.253,0.275,28.1,23.541979,19.751579,0.085452,0,0,0,,,,
00-1-4 0:00,44599.65041,100.466301,5.0195,0.269,382.165802,82,0.4619,52.805298,0.643967,59.780998,382.217773,382.06189,382.235077,0.266,0.262,0.278,28.1,23.664053,19.751579,0.085452,0,0,0,,,,
00-1-4 0:00,44599.65041,99.875099,5.0485,0.271,382.235077,84,0.4664,52.797848,0.628546,59.799999,382.390961,382.148468,382.165802,0.27,0.268,0.275,28.1,23.664053,19.751579,0.085452,0,0,0,,,,
00-1-4 0:00,44599.65041,99.937103,5.0117,0.267,382.131165,80,0.4527,52.445526,0.655569,59.806,381.732788,382.235077,382.408295,0.266,0.256,0.278,28.1,23.664053,19.751579,0.085452,0,0,0,,,,
00-1-4 0:00,44599.65042,100.276199,5.3387,0.267,382.009918,81,0.4608,56.057018,0.692062,59.999001,382.148468,381.732788,382.165802,0.26,0.27,0.272,28.1,23.664053,19.733269,0.085452,0,0,0,,,,
00-1-4 0:00,44599.65042,100.351898,5.1975,0.271,381.940643,84,0.471,54.615604,0.650186,60.018002,382.131165,381.680847,381.992615,0.262,0.273,0.279,28.1,23.664053,19.733269,0.085452,0,0,0,,,,
